ckpt,model,seed,task,use_goal,goal_slot,task_goal,val_frac,steps,d_model,cfg_dropout,ot_coupling,global_cond,sources,n_steps,guidance,execute_horizon,max_steps,n_average,ema,n_episodes,success_rate,mean_length
outputs/bcx_pick_val10_s42/ckpt_20000.pt,bc_xattn,42,PickCube-v1,False,False,True,0.1,20000,256,0,False,False,motionplanning,1,1.0,8,100,1,False,100,0.3400,90.54
outputs/fm_mt_val10_s123/ckpt_60000.pt,fm,123,PickCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,10,1.0,8,100,1,False,100,0.1000,96.41
outputs/fm_mt_val10_s123/ckpt_60000.pt,fm,123,PushCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,10,1.0,8,100,1,False,100,0.8400,73.76
outputs/fm_mt_val10_s123/ckpt_60000.pt,fm,123,StackCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,10,1.0,8,100,1,False,100,0.0100,99.87
outputs/fm_pick_val10_s123/ckpt_20000.pt,fm,123,PickCube-v1,False,False,True,0.1,20000,256,0,False,False,motionplanning,10,1.0,8,100,1,False,100,0.6100,81.40
outputs/ddpm_pick_val10_s123/ckpt_20000.pt,ddpm,123,PickCube-v1,False,False,True,0.1,20000,256,0,False,False,motionplanning,100,1.0,8,100,1,False,100,0.0600,96.53
outputs/bcx_mt_val10_s123/ckpt_60000.pt,bc_xattn,123,PickCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,1,1.0,8,100,1,False,100,0.2800,91.82
outputs/bcx_mt_val10_s123/ckpt_60000.pt,bc_xattn,123,PushCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,1,1.0,8,100,1,False,100,0.8500,72.80
outputs/bcx_mt_val10_s123/ckpt_60000.pt,bc_xattn,123,StackCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,1,1.0,8,100,1,False,100,0.1100,98.58
outputs/bcx_pick_val10_s123/ckpt_20000.pt,bc_xattn,123,PickCube-v1,False,False,True,0.1,20000,256,0,False,False,motionplanning,1,1.0,8,100,1,False,100,0.2200,93.99
outputs/fm_mt_val10_s7/ckpt_60000.pt,fm,7,PickCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,10,1.0,8,100,1,False,100,0.0300,98.01
outputs/fm_mt_val10_s7/ckpt_60000.pt,fm,7,PushCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,10,1.0,8,100,1,False,100,0.4000,89.69
outputs/fm_mt_val10_s7/ckpt_60000.pt,fm,7,StackCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,10,1.0,8,100,1,False,100,0.0000,100.00
outputs/fm_pick_val10_s7/ckpt_20000.pt,fm,7,PickCube-v1,False,False,True,0.1,20000,256,0,False,False,motionplanning,10,1.0,8,100,1,False,100,0.3000,89.94
outputs/ddpm_pick_val10_s7/ckpt_20000.pt,ddpm,7,PickCube-v1,False,False,True,0.1,20000,256,0,False,False,motionplanning,100,1.0,8,100,1,False,100,0.0500,97.15
outputs/bcx_mt_val10_s7/ckpt_60000.pt,bc_xattn,7,PickCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,1,1.0,8,100,1,False,100,0.2600,92.06
outputs/bcx_mt_val10_s7/ckpt_60000.pt,bc_xattn,7,PushCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,1,1.0,8,100,1,False,100,0.8600,72.42
outputs/bcx_mt_val10_s7/ckpt_60000.pt,bc_xattn,7,StackCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,1,1.0,8,100,1,False,100,0.1800,98.00
outputs/bcx_pick_val10_s7/ckpt_20000.pt,bc_xattn,7,PickCube-v1,False,False,True,0.1,20000,256,0,False,False,motionplanning,1,1.0,8,100,1,False,100,0.6800,79.54
outputs/ddpm_mt_val10_s123/ckpt_60000.pt,ddpm,123,PickCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,100,1.0,8,100,1,False,100,0.0700,96.64
outputs/ddpm_mt_val10_s123/ckpt_60000.pt,ddpm,123,PushCube-v1,False,False,True,0.1,60000,256,0,False,False,motionplanning,100,1.0,8,100,1,False,100,0.7900,71.45
